DMU,VRS_수비,VRS,수비-수비x
강로한,1,1,0
김하성,1,1,0
나종덕,1,1,0
박병호,1,1,0
박세혁,1,0.9117,0.08830000000000005
오지환,1,0.9672,0.03280000000000005
유강남,1,0.8708,0.12919999999999998
이성열,1,1,0
이학주,1,1,0
장성우,1,0.8736,0.12639999999999996
정은원,1,1,0
최정,1,1,0
박경수,1,0.8946,0.10540000000000005
이창진,1,1,0
강백호,1,1,0
이재원,1,0.6832,0.31679999999999997
노시환,1,1,0
김도환,1,1,0
이정후,0.9962,0.9962,0.0
박계범,0.9868,0.9868,0.0
오윤석,0.9868,0.9868,0.0
허일,0.9868,0.9868,0.0
김형준,0.9789,0.9789,0.0
강진성,0.9789,0.9789,0.0
김태진,0.9752,0.9752,0.0
김민혁,0.9662,0.9662,0.0
오재일,0.964,0.964,0.0
장진혁,0.9585,0.9585,0.0
박찬호,0.9582,0.9509,0.007300000000000084
최재훈,0.9576,0.857,0.10060000000000002
김민하,0.9555,0.9555,0.0
이우성,0.9526,0.9526,0.0
조용호,0.9526,0.9526,0.0
황윤호,0.9526,0.9526,0.0
전민수,0.9526,0.9526,0.0
한승택,0.9519,0.9114,0.04049999999999998
유민상,0.9444,0.9444,0.0
김찬형,0.9444,0.9444,0.0
이천웅,0.9402,0.939,0.0012000000000000899
고종욱,0.9323,0.9323,0.0
한동희,0.9299,0.9299,0.0
이원재,0.9277,0.9277,0.0
장영석,0.9268,0.9268,0.0
노진혁,0.9255,0.8986,0.026900000000000035
최영진,0.9214,0.9214,0.0
지성준,0.9136,0.9136,0.0
오선진,0.912,0.8855,0.02650000000000008
김규민,0.9118,0.9118,0.0
심우준,0.9093,0.8732,0.03610000000000002
김재환,0.9054,0.9054,0.0
김회성,0.8999,0.8999,0.0
박승욱,0.8984,0.8984,0.0
김혜성,0.8964,0.8964,0.0
임병욱,0.8929,0.8929,0.0
전준우,0.8904,0.8904,0.0
오태곤,0.8874,0.8874,0.0
박민우,0.8859,0.8838,0.0020999999999999908
박건우,0.8827,0.8825,0.000200000000000089
정훈,0.8791,0.8791,0.0
이상호,0.8791,0.8791,0.0
김문호,0.8791,0.8791,0.0
이형종,0.8786,0.8786,0.0
정주현,0.8771,0.8741,0.0030000000000000027
구자욱,0.8741,0.8741,0.0
김용의,0.8732,0.8732,0.0
양성우,0.8732,0.8732,0.0
강경학,0.8699,0.8699,0.0
박동원,0.8678,0.8678,0.0
최형우,0.8611,0.8611,0.0
이원석,0.8597,0.8514,0.008299999999999974
최원준,0.8578,0.8578,0.0
채은성,0.8527,0.8527,0.0
최항,0.8491,0.8491,0.0
정진호,0.8466,0.8466,0.0
이명기,0.8447,0.8447,0.0
한동민,0.8426,0.8426,0.0
유한준,0.8416,0.8416,0.0
류지혁,0.8375,0.8375,0.0
김성욱,0.8366,0.8366,0.0
김헌곤,0.8363,0.8363,0.0
김상수,0.835,0.8337,0.0012999999999999678
김성현,0.8294,0.7716,0.057800000000000074
권희동,0.8276,0.8276,0.0
김민식,0.8276,0.8276,0.0
지석훈,0.8217,0.8217,0.0
신본기,0.8186,0.8162,0.0023999999999999577
서건창,0.8186,0.8186,0.0
정수빈,0.8126,0.8125,9.999999999998899e-05
김강민,0.809,0.809,0.0
김동엽,0.8041,0.8041,0.0
허경민,0.8036,0.8021,0.0014999999999999458
김현수,0.8006,0.8005,9.999999999998899e-05
채태인,0.7978,0.7978,0.0
최진행,0.7978,0.7978,0.0
양의지,0.7963,0.7946,0.0017000000000000348
강민호,0.7959,0.7103,0.08560000000000001
이지영,0.7939,0.7939,0.0
김선빈,0.7909,0.7831,0.007800000000000029
모창민,0.7861,0.7861,0.0
윤석민,0.7834,0.7834,0.0
박해민,0.7813,0.7811,0.00019999999999997797
송광민,0.781,0.781,0.0
정의윤,0.78,0.78,0.0
노수광,0.7758,0.7758,0.0
나주환,0.7617,0.7617,0.0
황재균,0.7604,0.7599,0.0004999999999999449
박석민,0.7577,0.7577,0.0
김재호,0.7569,0.7365,0.020399999999999974
안치홍,0.7555,0.7553,0.00019999999999997797
최주환,0.7483,0.7483,0.0
김민성,0.7456,0.7456,0.0
김주찬,0.7456,0.7456,0.0
손아섭,0.7445,0.7445,0.0
김태균,0.7369,0.7369,0.0
오재원,0.7239,0.7239,0.0
나성범,0.7239,0.7239,0.0
나지완,0.7181,0.7181,0.0
민병헌,0.7149,0.7149,0.0
이대호,0.7101,0.7101,0.0
정근우,0.7082,0.7082,0.0
박용택,0.6998,0.6998,0.0
