Unnamed: 0,March_score,kWAR_score,AHP_score,P1,P2,P3,20¿¬ºÀ
µÎ»ê,44150.924000000006,4790.142,1259.341,362.5904607128308,1237.7742940684159,-188.6305014532384,452100
KT,43859.35799999999,4754.125,1250.903,336.9596317110599,1154.6807941286338,-180.58547843543874,348700
Å°¿ò,43776.81799999999,4743.974999999999,1248.977,362.0615830559369,1239.5461455632767,-192.2414488149998,439700
KIA,41878.145,4562.4,1211.7470000000003,299.0080433699692,1022.251596774358,-157.16232826384902,426900
NC,45377.503,4893.407,1279.389,402.5434610051849,1375.2260495274838,-210.5477491394057,564100
LG,44233.028000000006,4798.749000000001,1261.2550000000003,337.6832412174832,1156.7959108904995,-180.70560160006914,486100
»ï¼º,43192.153,4660.533,1211.372,311.80054803354324,1075.9712567264069,-176.78066500371764,365500
ÇÑÈ­,43364.236,4698.88,1238.058,288.4998716555011,988.9264450672601,-155.77321621672897,302300
·Ôµ¥,44110.239,4790.568999999999,1271.9779999999996,280.24339969580063,958.0687164290572,-147.88156504057162,716100
SK,43729.49700000001,4743.813,1252.4129999999998,315.98490560050533,1084.3572637066607,-171.0405735429166,457400
