Name,March_score,kWAR_score,AHP_score,P1,P2,연차,20연봉,FA유무
이대호,293.568,0.0,3.229,44.12804867722922,-23.533722983462095,19,250000,1
박병호,1802.46,0.0,19.827,57.54744606805426,-30.139021195765963,15,200000,0
양의지,5769.28,721.16,266.829,55.986633668366615,-30.10785520944358,14,200000,1
손아섭,2626.675,210.134,37.824,44.52677256657355,-23.861174806475425,13,200000,1
최형우,700.0,70.0,12.6,55.34752220065393,-29.604491854055958,18,150000,1
김현수,2080.985,166.4,34.539,52.23384610370442,-28.285957027589625,14,130000,1
이재원,8278.032,1034.754,382.859,34.48737767437124,-18.170791976962462,14,130000,1
최정,4409.072,661.361,136.681,64.44437878878324,-34.50649043243051,15,120000,1
황재균,4123.564,602.866,127.589,44.63906328051161,-23.62561555254982,14,120000,1
김재호,6814.244,778.771,213.188,35.38344913518194,-18.54030264978343,16,65000,1
김재환,2020.0,202.0,36.36,48.54502347651642,-25.668633429940996,12,65000,0
오지환,7560.567,864.065,236.538,38.62506289523789,-20.12173288022026,11,60000,0
김하성,6602.337,785.83,206.309,63.837276104685934,-34.425074911368085,6,55000,0
박민우,5475.29,547.529,113.156,50.9860805072526,-27.940668622624894,8,52000,0
김태균,444.427,0.0,4.889,39.54172239333885,-20.9239651387605,19,50000,1
이성열,1254.114,75.194,16.991,38.73975641300477,-19.846412208376016,17,50000,0
유한준,934.671,74.774,13.459,50.048646592890954,-27.13272463634127,20,50000,1
전준우,2318.764,232.726,41.806,54.44073956631885,-29.27933905610701,12,50000,0
허경민,4211.04,631.056,130.41799999999998,39.34726039715651,-21.171785482432433,11,48000,0
오재일,2079.648,0.0,22.876,50.287825897228,-26.63716429124813,15,47000,0
김선빈,6169.599,698.688,188.25600000000003,34.1856660676886,-18.343617409457583,12,45000,0
박건우,2530.037,209.003,37.346,50.72262894379631,-27.26850404183869,11,45000,0
박경수,5807.588,580.759,120.023,30.90135752607716,-15.756206997290963,17,40000,1
이정후,2884.098,290.201,50.647,59.542553088400176,-32.85926276035361,3,39000,0
김강민,3279.183,374.764,62.773,30.285256531444745,-15.622126411813934,19,35000,0
서건창,2822.508,282.251,58.332,40.78463493101585,-21.9390569852612,12,35000,0
정수빈,3508.902,401.017,67.17,36.069600639777754,-19.194691189365262,11,34000,0
채은성,2193.667,175.493,31.589,44.15445665148685,-23.72529970894126,11,32000,0
박해민,4025.088,456.506,76.802,35.46929584978557,-18.71909064172853,8,30000,0
이원석,2722.952,406.843,83.914,34.84627550620272,-17.87823659355704,15,30000,1
이천웅,3690.13,420.339,70.483,46.91853698617936,-25.51156288364134,9,28000,0
구자욱,2156.243,172.499,31.05,42.195160976085695,-22.17549784906594,8,28000,0
한동민,1889.178,151.134,27.204,39.10981916901508,-20.532778973765023,8,25000,0
송광민,3697.304,554.596,114.616,25.78925340835526,-13.20511823722917,18,25000,1
김상수,5856.714,585.671,121.039,38.9431860737103,-20.78180266613942,11,25000,1
이명기,2553.98,244.788,43.043,39.10763270162512,-21.09295575499831,14,24000,0
박세혁,8496.2,1062.025,392.949,38.45233827511508,-20.467765849352983,8,23200,0
유강남,7684.667,960.583,355.416,33.6192560728684,-17.35263395845278,9,23000,0
강백호,1549.2720000000002,127.421,23.109,51.81138382790827,-27.748727320119933,2,21000,0
김성현,7637.428,872.849,238.942,22.904394752019513,-11.989552267769659,14,21000,0
이형종,1883.255,182.842,32.126000000000005,40.366466682371225,-21.154383196785638,12,20000,0
최재훈,8124.09,1015.511,375.739,34.38239500657453,-18.18743816476227,12,20000,0
김헌곤,2023.5,204.6,36.563,34.055647099547,-18.134860206856025,9,19000,0
고종욱,1022.057,102.206,18.397,42.18572080010461,-22.675125207457718,9,17000,0
정은원,7027.212,702.721,145.229,40.800456093662135,-21.615032864294424,2,12000,0
박찬호,5649.993,734.27,171.659,30.909627726384286,-16.31053148562421,6,10500,0
오선진,6659.623,760.8430000000001,207.194,21.93955207877259,-11.099116119234614,12,10500,0
김민혁,2060.053,215.58900000000003,37.846,32.431481711234944,-17.385375339859998,6,9000,0
이창진,3594.452,406.937,69.22,33.642948439738724,-17.420636132251655,6,8500,0
