구분,효율성
강로한롯데,0.0345
강민호삼성,0.9264
강백호KT,0.0628
고종욱SK,0.1071
구자욱삼성,0.1453
권희동NC,0.1086
김강민SK,0.271
김규민키움,0.0734
김동엽삼성,1
김민성LG,0.2714
김민혁KT,0.2886
김상수삼성,0.2061
김선빈KIA,0.2922
김성욱NC,0.1143
김성현SK,0.6172
김용의LG,1
김재호두산,0.5702
김재환*두산,0.3059
김주찬KIA,0.3896
김찬형NC,0.1394
김태균한화,1
김태진NC,0.0282
김하성키움,0.128
김헌곤삼성,0.1237
김현수LG,0.6724
김혜성키움,0.3526
나종덕롯데,1
나주환SK,0.6905
나지완KIA,1
노수광SK,0.3414
노시환한화,1
노진혁NC,0.0772
류승현KIA,1
류지혁두산,0.9374
모창민NC,0.2472
민병헌롯데,0.9273
박건우두산,0.2115
박경수KT,0.2612
박계범삼성,0.0391
박동원키움,0.057
박민우NC,0.475
박병호키움,0.7168
박석민NC,0.4167
박세혁두산,0.0877
박승욱KT,0.1607
박용택LG,1
박찬호KIA,0.0606
박해민삼성,0.3409
서건창키움,0.3832
손시헌NC,1
손아섭롯데,0.8242
송광민한화,0.1994
송성문키움,0.117
신본기롯데,0.3527
심우준KT,0.0916
안중열롯데,1
안치홍KIA,0.3989
양의지NC,1
오선진한화,0.1042
오윤석롯데,1
오재원두산,1
오재일두산,0.1263
오지환LG,0.253
오태곤KT,0.0842
유강남LG,0.1442
유민상KIA,1
유한준KT,0.2639
윤석민KT,1
이대호롯데,1
이명기NC,0.4627
이상호NC,1
이성열한화,0.1627
이원석삼성,0.1651
이원재NC,0.0499
이재원SK,0.8095
이정후키움,0.1683
이지영키움,0.3619
이창진KIA,0.0227
이천웅LG,0.1642
이학주삼성,0.0234
이형종LG,0.0914
임병욱키움,0.7622
장성우KT,0.0924
장영석키움,0.0506
장진혁한화,0.0525
전준우롯데,0.2106
정근우한화,0.7025
정수빈두산,1
정은원한화,0.0375
정의윤SK,0.174
정주현LG,0.1377
정훈롯데,0.1834
조용호KT,0.6895
지석훈NC,0.8966
채은성LG,0.1515
채태인롯데,1
최영진삼성,0.0715
최원준KIA,0.4698
최재훈한화,0.1218
최정SK,0.48
최주환두산,0.684
최항SK,1
최형우KIA,0.6131
한동민SK,0.2148
한동희롯데,1
한승택KIA,0.0978
허경민두산,0.3377
허일롯데,1
황재균KT,0.6107
