Name,RBI,RUN,HIT,HR,SB,OPS,Money_19,E/IP
이정후,68,91,193,6,13,0.84241,23000,0.9982486865148862
김하성,104,112,166,19,33,0.88016,32000,0.9815893881233143
정은원,57,83,148,8,14,0.69127,5500,0.9891000863608542
이천웅,48,88,168,2,21,0.75129,15000,0.9990657174355813
최정,99,86,147,29,3,0.91823,120000,0.9878717524451414
전준우,83,85,164,22,8,0.83941,50000,0.9965665236051502
김현수,82,75,160,11,3,0.80701,130000,0.9990396896276876
박해민,44,64,121,5,24,0.64617,36000,0.998279318265897
김재환,91,76,140,15,3,0.79671,73000,1.0
손아섭,63,78,151,10,13,0.76018,150000,0.9962500117187134
유한준,86,61,159,14,3,0.82568,60000,0.9948542465330485
최형우,86,65,137,17,0,0.89726,150000,1.0
이대호,88,48,138,16,0,0.79024,250000,0.993228143834225
오지환,53,63,119,9,27,0.71732,40000,0.989100817438692
이명기,36,62,142,2,14,0.71257,22000,0.998053224833064
김상수,38,76,127,5,21,0.71224,25000,0.9899295065458208
박찬호,49,60,131,2,39,0.61783,4200,0.985977212971078
허경민,60,71,137,4,11,0.72062,38500,0.9926131117266851
박건우,64,83,146,10,12,0.86245,38500,0.9970069737511598
박병호,98,92,121,33,0,0.95868,150000,0.9933823772706718
오재일,102,76,137,21,2,0.86327,30000,0.9961685823754789
박민우,45,89,161,1,18,0.83643,38000,0.9903051716523219
구자욱,71,66,127,15,11,0.77121,30000,0.9977020210724667
김민혁,32,68,131,0,22,0.64795,3900,0.9955703211517165
채은성,72,59,148,12,2,0.79202,31000,0.9977435041124637
정수빈,41,75,117,0,26,0.6847,24500,0.9970375344386622
고종욱,56,76,159,3,31,0.76771,11000,0.9942821201898336
황재균,67,78,127,20,10,0.82352,120000,0.9892857490722433
박세혁,63,58,123,4,8,0.73548,10000,0.9925350154431868
강백호,65,72,147,13,9,0.91128,12000,0.9951819612629685
이재원,75,33,121,12,1,0.71759,140000,0.9942363112391931
한동민,52,52,113,12,0,0.77029,33000,0.994823145715506
김태균,62,47,132,6,3,0.77692,100000,0.995522321228675
박경수,65,43,104,10,0,0.71069,40000,0.9908505901369362
서건창,41,67,128,2,17,0.7553,35000,0.9875259875259875
송광민,51,50,120,7,8,0.65496,25000,0.9835728952772074
이형종,63,56,120,13,6,0.79912,17000,0.9973556516335462
이성열,85,60,106,21,8,0.80693,32000,0.9909255898366606
김성현,34,45,105,1,6,0.60219,28000,0.977266169436988
김재호,48,51,101,4,3,0.73688,65000,0.9899328521236649
이창진,48,57,108,6,8,0.74516,3100,0.9950851739356944
유강남,49,44,113,16,0,0.77185,21000,0.9927710594528725
김헌곤,46,57,122,5,10,0.74833,15500,1.0
김강민,50,54,114,8,15,0.69358,40000,0.9968332049021988
양의지,68,61,138,20,4,1.01227,200000,0.9972350102995866
이원석,76,44,97,19,2,0.76722,30000,0.9824086603518268
오선진,36,37,88,3,7,0.59526,7500,0.9877759328491245
최재훈,31,47,108,3,3,0.76014,12500,0.994133004781601
김선빈,40,55,115,3,5,0.73029,30000,0.9890431371689657
노수광,28,69,97,2,27,0.64442,26500,0.9966517857142857
박석민,74,49,96,19,1,0.87096,75000,0.9768581827362043
심우준,28,54,109,3,24,0.66794,8500,0.9894229752209156
정주현,27,53,87,2,15,0.59946,8800,0.9866255144032922
민병헌,43,52,112,9,13,0.83205,125000,0.9974968710888611
정의윤,59,44,107,13,0,0.78947,30000,0.9973404255319149
임병욱,41,39,92,0,10,0.61907,10000,0.9955784982369261
권희동,41,37,89,6,3,0.71416,14000,0.9949065997733437
장성우,41,25,96,7,0,0.66398,9500,0.9945155593581011
신본기,26,43,96,1,3,0.60173,16000,0.9840877507505278
장영석,62,41,92,7,0,0.65401,5300,0.9863449537776685
안치홍,49,45,114,5,4,0.7915,50000,0.9863410030670656
김민성,50,44,94,8,2,0.69442,40000,0.9928713153611273
김태진,46,44,103,5,12,0.68425,3300,0.9958333333333333
강민호,45,36,81,13,0,0.7192,125000,0.9904988123515439
오태곤,35,63,88,6,19,0.66847,8000,0.988660274421359
노진혁,43,51,92,13,0,0.77954,10000,0.99375
김혜성,32,57,96,0,20,0.69366,7000,0.9831523143104243
모창민,55,49,104,10,3,0.82379,30000,0.9908256880733946
김주찬,32,35,101,3,3,0.71367,40000,0.9900718138796042
박동원,55,50,94,10,1,0.81203,9000,0.9983552631578947
장진혁,24,42,80,1,13,0.66592,3800,0.9959604664314761
김성욱,36,38,66,9,6,0.68923,13000,0.9974193548387097
이지영,39,40,87,1,5,0.63186,21000,0.9950413223140496
최주환,47,27,79,4,0,0.69722,38500,0.9942528735632183
류지혁,34,36,69,0,18,0.60881,12500,0.984081041968162
강로한,25,38,69,4,7,0.65369,2900,0.9718178871870025
정근우,30,37,77,3,8,0.68823,70000,0.9892665474060823
한승택,27,22,56,3,1,0.60172,6000,0.9928774928774928
이원재,36,31,66,8,1,0.70525,5000,0.9924338434183896
최영진,20,29,63,5,4,0.67437,5300,0.9869210522013504
이상호,12,30,65,0,10,0.61414,8000,0.9904397705544933
최원준,18,33,46,1,8,0.54535,10000,0.9880239520958084
김규민,24,33,55,3,2,0.65733,5800,0.9980769230769231
나주환,20,14,50,3,1,0.57193,32000,0.9981060606060606
박승욱,15,24,52,3,4,0.60739,6600,0.9909420289855072
오윤석,21,21,44,1,0,0.54212,3000,0.9896407408942113
정훈,17,26,43,2,4,0.61367,8000,0.9903381642512077
박용택,22,19,55,1,3,0.68312,80000,1.0
김동엽,25,15,42,6,2,0.60386,18500,0.992327169492826
조용호,19,15,55,0,3,0.72002,4000,1.0
김용의,17,35,39,0,8,0.59486,8500,0.9901380670611439
나종덕,13,12,23,3,0,0.38271,4300,0.9910180178561805
한동희,9,12,38,2,1,0.55395,4900,0.9775561097256857
오재원,18,30,29,3,6,0.53851,55000,0.9855371900826446
박계범,25,26,43,4,5,0.74044,3000,0.9783310059228584
유민상,26,23,51,5,0,0.849,4300,0.9894736842105263
채태인,29,11,42,5,0,0.70938,20000,0.9970788420529898
윤석민,17,4,39,2,0,0.54837,24000,0.983801470826449
지석훈,15,15,34,2,0,0.62826,15000,0.9874055415617129
이우성,22,19,33,6,0,0.64568,4000,0.9962732456303806
허일,17,14,38,1,2,0.61683,3000,0.9938774260699198
김찬형,12,16,39,1,3,0.67698,4300,0.9919426315365402
나지완,17,12,24,6,0,0.66499,60000,1.0
최항,14,12,29,0,2,0.58963,11000,0.9904153354632588
